"Banka Adı","Adres","Telefon","Fax","Web Adresi","Teleks","Eft","Swift"
"The Royal Bank of Scotland Plc. ","Tamburi Ali Efendi Sok. No 13 Etiler Beşiktaş İstanbul  ","212-359 40 40 ","212-359 50 50 ","http://www.rbsbank.com.tr ","24677 hbu TR ","0088 ","ABNATRIS  "
"Turkish Bank A.Ş. ","Vali Konağı Cad. No 1 Nişantaşı Şişli İstanbul  ","212-373 63 73 ","212-225 03 53, 55 ","http://www.turkishbank.com.tr ","27359 tblı TR ","0096 ","TUBATRIS  "
"Turkland Bank A.Ş. ","19 Mayıs Mah. 19 Mayıs Cad. Şişli Plaza A Blok No 7 Şişli İstanbul  ","212-368 34 34 ","212-368 35 35 ","http://www.tbank.com.tr ","25461-25462 ","0108 ","TBNKTRIS  "
"Türk Ekonomi Bankası A.Ş. ","TEB Kampüs C ve D Blok Saray Mah. Sokullu Cad. No. 7A-7B 34768 Ümraniye İstanbul  ","216-635 35 35 ","216-636 36 36 ","http://www.teb.com.tr ","25358 tebu TR ","0032 ","TEBUTRIS  "
"Türk Eximbank ","Saray Mahallesi Ahmet Tevfik İleri Cad. No 19 Ümraniye İstanbul  ","216- 666 55 00 ","216- 666 55 99 ","http://www.eximbank.gov.tr ","46751 exmb TR ","0016 ","TIKBTR2A  "
"Türkiye Cumhuriyeti Ziraat Bankası A.Ş. ","Anafartalar Mah. Atatürk Bulvarı No 8 Altındağ Ankara  ","312-584 20 00 ","312-584 25 51 ","http://www.ziraatbank.com.tr ","44004 zbhm TR ","0010 ","TCZBTR2A  "
"Türkiye Garanti Bankası A.Ş. ","Nispetiye Mah. Aytar Cad. No 2 Levent Beşiktaş İstanbul  ","212-318 18 18 ","212-318 18 88 ","http://www.garanti.com.tr ","27635 gatı TR ","0062 ","TGBATRIS  "
"Türkiye Halk Bankası A.Ş. ","Barbaros Mahallesi, Şebboy Sokak No:4 Ataşehir İstanbul  ","216-503 70 70 ","212-340 93 99 ","http://www.halkbank.com.tr ","TRHBTR2A ","0012 ","TRHBTR2A  "
"Türkiye İş Bankası A.Ş. ","İş Kuleleri Levent Beşiktaş İstanbul  ","212-316 00 00 ","212-316 09 00-05 ","http://www.isbank.com.tr ","42082 tab TR ","0064 ","ISBKTRIS  "
"Türkiye Kalkınma Bankası A.Ş. ","Necatibey Caddesi, No 98 Yenişehir Ankara  ","312-231 84 00, 312- 231 31 25 ","312-231 31 25 ","http://www.kalkinma.com.tr ","43206 turb-TR ","0017 ","TKBNTR2A  "
"Türkiye Sınai Kalkınma Bankası A.Ş. ","Meclisi Mebusan Cad. No 81 Fındıklı İstanbul  ","212-334 50 50 ","212-334 52 34 ","http://www.tskb.com.tr ","24344 tskb TR ","0014 ","TSKBTRIS  "
"Türkiye Vakıflar Bankası T.A.O. ","Sanayi Mahallesi Eski Büyükdere Caddesi Güler Sokak No: 51 Kağıthane İstanbul  ","212 398 15 15 - 212 398 10 00 ","212 398 11 55 ","http://www.vakifbank.com.tr ","46023 vbho-tr ","0015 ","TVBATR2A  "
"Yapı ve Kredi Bankası A.Ş. ","Yapı Kredi Plaza D Blok Levent İstanbul  ","212-339 70 00 ","212-339 60 00 ","http://www.yapikredi.com.tr ","931002 ykge TR ","0067 ","YAPITRISFEX  "
